event_id,user_id,session_id,event_timestamp,event_date,event_name,traffic_source,device_category,country,product_category,price,order_id,revenue,ab_group
1,u_000001,s_000001_00_0,2026-01-21 18:44:34,2026-01-21,session_start,social,mobile,RU,,,,0.0,A
2,u_000001,s_000001_00_0,2026-01-21 18:46:34,2026-01-21,view_item,social,mobile,RU,fashion,3856.62,,0.0,A
3,u_000001,s_000001_01_0,2026-01-22 10:13:48,2026-01-22,session_start,social,mobile,RU,,,,0.0,A
4,u_000001,s_000001_01_0,2026-01-22 10:14:48,2026-01-22,view_item,social,mobile,RU,electronics,16752.41,,0.0,A
5,u_000001,s_000001_14_0,2026-02-04 12:51:02,2026-02-04,session_start,social,mobile,RU,,,,0.0,A
6,u_000001,s_000001_18_0,2026-02-08 22:24:05,2026-02-08,session_start,social,mobile,RU,,,,0.0,A
7,u_000001,s_000001_21_0,2026-02-11 17:56:55,2026-02-11,session_start,social,mobile,RU,,,,0.0,A
8,u_000001,s_000001_21_0,2026-02-11 17:59:55,2026-02-11,view_item,social,mobile,RU,electronics,15026.11,,0.0,A
9,u_000002,s_000002_00_0,2026-01-28 11:10:29,2026-01-28,session_start,organic_search,mobile,RU,,,,0.0,A
10,u_000002,s_000002_00_0,2026-01-28 11:15:29,2026-01-28,view_item,organic_search,mobile,RU,sports,5944.84,,0.0,A
11,u_000002,s_000002_00_0,2026-01-28 11:21:29,2026-01-28,add_to_cart,organic_search,mobile,RU,sports,5944.84,,0.0,A
12,u_000002,s_000002_03_0,2026-01-31 11:52:02,2026-01-31,session_start,organic_search,mobile,RU,,,,0.0,A
13,u_000003,s_000003_00_0,2026-01-13 14:23:14,2026-01-13,session_start,organic_search,tablet,BY,,,,0.0,A
14,u_000003,s_000003_01_0,2026-01-14 15:05:48,2026-01-14,session_start,organic_search,tablet,BY,,,,0.0,A
15,u_000003,s_000003_01_0,2026-01-14 15:09:48,2026-01-14,view_item,organic_search,tablet,BY,electronics,8236.53,,0.0,A
16,u_000003,s_000003_01_1,2026-01-14 14:24:38,2026-01-14,session_start,organic_search,tablet,BY,,,,0.0,A
17,u_000003,s_000003_17_0,2026-01-30 16:55:00,2026-01-30,session_start,organic_search,tablet,BY,,,,0.0,A
18,u_000003,s_000003_28_0,2026-02-10 22:34:48,2026-02-10,session_start,organic_search,tablet,BY,,,,0.0,A
19,u_000003,s_000003_28_0,2026-02-10 22:35:48,2026-02-10,view_item,organic_search,tablet,BY,beauty,1980.61,,0.0,A
20,u_000003,s_000003_28_1,2026-02-10 10:29:00,2026-02-10,session_start,organic_search,tablet,BY,,,,0.0,A
21,u_000004,s_000004_00_0,2026-01-24 08:07:59,2026-01-24,session_start,paid_search,mobile,AM,,,,0.0,A
22,u_000004,s_000004_00_0,2026-01-24 08:09:59,2026-01-24,view_item,paid_search,mobile,AM,sports,5509.02,,0.0,A
23,u_000004,s_000004_01_0,2026-01-25 09:46:31,2026-01-25,session_start,paid_search,mobile,AM,,,,0.0,A
24,u_000004,s_000004_02_0,2026-01-26 16:49:08,2026-01-26,session_start,paid_search,mobile,AM,,,,0.0,A
25,u_000004,s_000004_02_0,2026-01-26 16:54:08,2026-01-26,view_item,paid_search,mobile,AM,home,5463.51,,0.0,A
26,u_000004,s_000004_02_0,2026-01-26 17:03:08,2026-01-26,add_to_cart,paid_search,mobile,AM,home,5463.51,,0.0,A
27,u_000004,s_000004_14_0,2026-02-07 11:59:34,2026-02-07,session_start,paid_search,mobile,AM,,,,0.0,A
28,u_000004,s_000004_20_0,2026-02-13 19:19:25,2026-02-13,session_start,paid_search,mobile,AM,,,,0.0,A
29,u_000005,s_000005_00_0,2026-01-21 21:21:04,2026-01-21,session_start,direct,mobile,RU,,,,0.0,A
30,u_000005,s_000005_00_0,2026-01-21 21:26:04,2026-01-21,view_item,direct,mobile,RU,fashion,3002.49,,0.0,A
31,u_000005,s_000005_01_0,2026-01-22 15:51:26,2026-01-22,session_start,direct,mobile,RU,,,,0.0,A
32,u_000005,s_000005_01_0,2026-01-22 15:55:26,2026-01-22,view_item,direct,mobile,RU,electronics,11801.33,,0.0,A
33,u_000005,s_000005_02_0,2026-01-23 21:46:03,2026-01-23,session_start,direct,mobile,RU,,,,0.0,A
34,u_000005,s_000005_02_0,2026-01-23 21:49:03,2026-01-23,view_item,direct,mobile,RU,sports,6189.23,,0.0,A
35,u_000005,s_000005_14_0,2026-02-04 11:12:34,2026-02-04,session_start,direct,mobile,RU,,,,0.0,A
36,u_000005,s_000005_14_0,2026-02-04 11:15:34,2026-02-04,view_item,direct,mobile,RU,fashion,4768.45,,0.0,A
37,u_000005,s_000005_14_1,2026-02-04 21:59:04,2026-02-04,session_start,direct,mobile,RU,,,,0.0,A
38,u_000005,s_000005_14_1,2026-02-04 22:04:04,2026-02-04,view_item,direct,mobile,RU,books,1487.3,,0.0,A
39,u_000006,s_000006_00_0,2026-01-03 19:50:35,2026-01-03,session_start,direct,mobile,RU,,,,0.0,B
40,u_000006,s_000006_00_0,2026-01-03 19:52:35,2026-01-03,view_item,direct,mobile,RU,home,6350.2,,0.0,B
41,u_000006,s_000006_01_0,2026-01-04 17:47:34,2026-01-04,session_start,direct,mobile,RU,,,,0.0,B
42,u_000006,s_000006_01_0,2026-01-04 17:52:34,2026-01-04,view_item,direct,mobile,RU,fashion,5245.4,,0.0,B
43,u_000006,s_000006_01_0,2026-01-04 18:01:34,2026-01-04,add_to_cart,direct,mobile,RU,fashion,5245.4,,0.0,B
44,u_000006,s_000006_01_0,2026-01-04 18:04:34,2026-01-04,begin_checkout,direct,mobile,RU,fashion,5245.4,,0.0,B
45,u_000006,s_000006_01_0,2026-01-04 18:07:34,2026-01-04,purchase,direct,mobile,RU,fashion,5245.4,o_00000045,5393.4,B
46,u_000006,s_000006_03_0,2026-01-06 11:25:07,2026-01-06,session_start,direct,mobile,RU,,,,0.0,B
47,u_000006,s_000006_19_0,2026-01-22 17:38:02,2026-01-22,session_start,direct,mobile,RU,,,,0.0,B
48,u_000006,s_000006_19_0,2026-01-22 17:41:02,2026-01-22,view_item,direct,mobile,RU,fashion,3183.66,,0.0,B
49,u_000006,s_000006_19_0,2026-01-22 17:47:02,2026-01-22,add_to_cart,direct,mobile,RU,fashion,3183.66,,0.0,B
50,u_000006,s_000006_19_0,2026-01-22 17:54:02,2026-01-22,begin_checkout,direct,mobile,RU,fashion,3183.66,,0.0,B
51,u_000006,s_000006_19_0,2026-01-22 18:04:02,2026-01-22,purchase,direct,mobile,RU,fashion,3183.66,o_00000051,3028.19,B
52,u_000007,s_000007_00_0,2026-01-15 10:28:53,2026-01-15,session_start,social,mobile,RU,,,,0.0,A
53,u_000007,s_000007_03_0,2026-01-18 20:41:33,2026-01-18,session_start,social,mobile,RU,,,,0.0,A
54,u_000007,s_000007_03_0,2026-01-18 20:43:33,2026-01-18,view_item,social,mobile,RU,books,1434.2,,0.0,A
55,u_000007,s_000007_07_0,2026-01-22 19:35:09,2026-01-22,session_start,social,mobile,RU,,,,0.0,A
56,u_000007,s_000007_07_0,2026-01-22 19:38:09,2026-01-22,view_item,social,mobile,RU,home,8600.82,,0.0,A
